2025-07-02T08:44:52.564506Z [info     ] Using systemdb state backend
2025-07-02T08:44:52.566731Z [warning  ] No state was found, complete import.
2025-07-02T08:44:56.555201Z [info     ] tap-oracle-wms v0.1.0, Meltano SDK v0.47.4 cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.555656Z [info     ] /home/marlonsc/flext/.venv/lib/python3.13/site-packages/singer_sdk/plugin_base.py:715: SingerSDKDeprecationWarning: Passing a list of config file paths is deprecated. Please pass the config as a dictionary instead. cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.555886Z [info     ]   super().__init__(            cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.556085Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.556275Z [info     ] Skipping parse of env var settings... cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.558853Z [info     ] /home/marlonsc/flext/flext-tap-oracle-wms/src/tap_oracle_wms/tap.py:268: SingerSDKDeprecationWarning: Passing a catalog file path is deprecated. Please pass the catalog as a dictionary or Catalog object instead. cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.559103Z [info     ]   super().__init__(*args, **kwargs) cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.559309Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.562918Z [info     ] Testing connection to Oracle WMS API cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:56.563271Z [info     ] Discovering entities from Oracle WMS API cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:57.586860Z [info     ] HTTP Request: GET https://ta29.wms.ocs.oraclecloud.com/raizen_test/wms/lgfapi/v10/entity/ "HTTP/1.1 200 OK" cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:57.977036Z [info     ] Discovered 311 entities        cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:57.977909Z [info     ] ✅ Connection successful. Found 311 entities. cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
2025-07-02T08:44:57.978232Z [info     ] Discovering Oracle WMS streams cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=eab11aab-3576-43f0-a3cc-9163e94ce2ba stdio=stderr string_id=tap-oracle-wms
