2025-07-02T07:46:12.177916Z [warning  ] Force option is enabled, ignoring stale job check.
2025-07-02T07:46:12.363571Z [info     ] Using systemdb state backend
2025-07-02T07:46:12.366109Z [warning  ] No state was found, complete import.
2025-07-02T07:46:16.072888Z [info     ] tap-oracle-wms v0.1.0, Meltano SDK v0.47.4 cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.073333Z [info     ] /home/marlonsc/flext/.venv/lib/python3.13/site-packages/singer_sdk/plugin_base.py:715: SingerSDKDeprecationWarning: Passing a list of config file paths is deprecated. Please pass the config as a dictionary instead. cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.073555Z [info     ]   super().__init__(            cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.073724Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.073875Z [info     ] Skipping parse of env var settings... cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.075386Z [info     ] /home/marlonsc/flext/flext-tap-oracle-wms/src/tap_oracle_wms/tap.py:268: SingerSDKDeprecationWarning: Passing a catalog file path is deprecated. Please pass the catalog as a dictionary or Catalog object instead. cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.075639Z [info     ]   super().__init__(*args, **kwargs) cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.075793Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.077483Z [info     ] Testing connection to Oracle WMS API cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:16.077883Z [info     ] Discovering entities from Oracle WMS API cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:17.144106Z [info     ] HTTP Request: GET https://ta29.wms.ocs.oraclecloud.com/raizen_test/wms/lgfapi/v10/entity/ "HTTP/1.1 200 OK" cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:17.554886Z [info     ] Discovered 311 entities        cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:17.555697Z [info     ] ✅ Connection successful. Found 311 entities. cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:17.555969Z [info     ] Discovering Oracle WMS streams cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
2025-07-02T07:46:17.556228Z [info     ] Skipping access verification for 1 entities (set verify_entity_access=true to enable) cmd_type=elb consumer=False job_name=dev:tap-oracle-wms-to-target-oracle name=tap-oracle-wms producer=True run_id=4275d192-67f3-429d-804c-263783848086 stdio=stderr string_id=tap-oracle-wms
